,Name,State,Candidate,Party,Votes
502,Cooch Behar,West Bengal,Renuka Sinha,AITC,526499
503,Alipurduars,West Bengal,Dasrath Tirkey,AITC,362453
504,Jalpaiguri,West Bengal,Bijoy Chandra Barman,AITC,494773
505,Darjeeling,West Bengal,S.S.Ahluwalia,BJP,488257
506,Raiganj,West Bengal,Md. Salim,CPM,317515
507,Balurghat,West Bengal,Arpita Ghosh,AITC,409641
508,Maldaha Uttar,West Bengal,Mausam Noor,INC,388609
509,Maldaha Dakshin,West Bengal,Abu Hasem Khan Chowdhury,INC,380291
510,Jangipur,West Bengal,Abhijit Mukherjee,INC,378201
511,Baharampur,West Bengal,Adhir Ranjan Chowdhury,INC,583549
512,Murshidabad,West Bengal,Badaruddoza Khan,CPM,426947
513,Krishnanagar,West Bengal,Tapas Paul,AITC,438789
514,Ranaghat,West Bengal,Tapas Mandal,AITC,590451
515,Bangaon,West Bengal,Mamata Thakur,AITC,539999
516,Barrackpore,West Bengal,Dinesh Trivedi,AITC,479206
517,Dum Dum,West Bengal,Saugata Roy,AITC,483244
518,Barasat,West Bengal,Dr. Kakali Ghoshdostidar,AITC,525387
519,Basirhat,West Bengal,Idris Ali,AITC,492326
520,Jaynagar,West Bengal,Pratima Mondal,AITC,494746
521,Mathurapur,West Bengal,Choudhury Mohan Jatua,AITC,627761
522,Diamond Harbour,West Bengal,Abhishek Banerjee,AITC,508481
523,Jadavpur,West Bengal,Sugata Bose,AITC,584244
524,Kolkata Dakshin,West Bengal,Subrata Bakshi,AITC,431715
525,Kolkata Uttar,West Bengal,Sudip Bandyopadhyay,AITC,343687
526,Howrah,West Bengal,Prasun Banerjee,AITC,488461
527,Uluberia,West Bengal,Sultan Ahmed,AITC,570785
528,Serampore,West Bengal,Kalyan Banerjee,AITC,514933
529,Hooghly,West Bengal,Dr. Ratna De (Nag),AITC,614312
530,Arambagh,West Bengal,Aparupa Poddar (Afrin Ali),AITC,748764
531,Tamluk,West Bengal,Adhikari Suvendu,AITC,716928
532,Kanthi,West Bengal,Adhikari Sisir Kumar,AITC,676749
533,Ghatal,West Bengal,Adhikari Deepak (Dev),AITC,685696
534,Jhargram,West Bengal,Uma Saren,AITC,674504
535,Medinipur,West Bengal,Sandhya Roy,AITC,579860
536,Purulia,West Bengal,Dr. Mriganka Mahato,AITC,468277
537,Bankura,West Bengal,Sreemati Dev Varma (Moon Moon Sen),AITC,483455
538,Bishnupur,West Bengal,Khan Saumitra,AITC,578870
539,Bardhaman Purba,West Bengal,Sunil Kumar Mondal,AITC,574660
540,Bardhaman-Durgapur,West Bengal,Dr. Mamtaz Sanghamita,AITC,554521
541,Asansol,West Bengal,Babul Supriya Baral (Babul Supriyo),BJP,419983
542,Bolpur,West Bengal,Anupam Hazra,AITC,630693
543,Birbhum,West Bengal,Satabdi Roy (Banerjee),AITC,460568
