,Name,2019,2014,2009
348,Warangal,Telangana Rashtra Samithi,TRS,INC
349,Mahabubabad,Telangana Rashtra Samithi,TRS,INC
350,Khammam,Telangana Rashtra Samithi,YSRC,TDP
351,Tripura West,Bharatiya Janata Party,CPM,CPM
352,Tripura East,Bharatiya Janata Party,CPM,CPM
353,Saharanpur,Bahujan Samaj Party,BJP,BSP
354,Kairana,Bharatiya Janata Party,BJP,BSP
355,Muzaffarnagar,Bharatiya Janata Party,BJP,BSP
356,Bijnor,Bahujan Samaj Party,BJP,RLD
357,Nagina,Bahujan Samaj Party,BJP,SP
358,Moradabad,Samajwadi Party,BJP,INC
359,Rampur,Samajwadi Party,BJP,SP
360,Sambhal,Samajwadi Party,BJP,BSP
361,Amroha,Bahujan Samaj Party,BJP,RLD
362,Meerut,Bharatiya Janata Party,BJP,BJP
363,Baghpat,Bharatiya Janata Party,BJP,RLD
364,Ghaziabad,Bharatiya Janata Party,BJP,BJP
365,Bulandshahr,Bharatiya Janata Party,BJP,SP
366,Aligarh,Bharatiya Janata Party,BJP,BSP
367,Hathras,Bharatiya Janata Party,BJP,RLD
368,Mathura,Bharatiya Janata Party,BJP,RLD
369,Agra,Bharatiya Janata Party,BJP,BJP
370,Firozabad,Bharatiya Janata Party,SP,SP
371,Mainpuri,Samajwadi Party,SP,SP
372,Etah,Bharatiya Janata Party,BJP,IND
373,Badaun,Bharatiya Janata Party,SP,SP
374,Aonla,Bharatiya Janata Party,BJP,BJP
375,Bareilly,Bharatiya Janata Party,BJP,INC
376,Pilibhit,Bharatiya Janata Party,BJP,BJP
377,Shahjahanpur,Bharatiya Janata Party,BJP,SP
378,Kheri,Bharatiya Janata Party,BJP,INC
379,Dhaurahra,Bharatiya Janata Party,BJP,INC
380,Sitapur,Bharatiya Janata Party,BJP,BSP
381,Hardoi,Bharatiya Janata Party,BJP,SP
382,Misrikh,Bharatiya Janata Party,BJP,BSP
383,Unnao,Bharatiya Janata Party,BJP,INC
384,Mohanlalganj,Bharatiya Janata Party,BJP,SP
385,Lucknow,Bharatiya Janata Party,BJP,BJP
386,Amethi,Bharatiya Janata Party,INC,INC
387,Sultanpur,Bharatiya Janata Party,BJP,INC
388,Pratapgarh,Bharatiya Janata Party,AD,INC
389,Farrukhabad,Bharatiya Janata Party,BJP,INC
390,Etawah,Bharatiya Janata Party,BJP,SP
391,Kannauj,Bharatiya Janata Party,SP,SP
392,Akbarpur,Bharatiya Janata Party,BJP,INC
393,Jalaun,Bharatiya Janata Party,BJP,SP
394,Jhansi,Bharatiya Janata Party,BJP,INC
395,Banda,Bharatiya Janata Party,BJP,SP
396,Fatehpur,Bharatiya Janata Party,BJP,SP
397,Kaushambi,Bharatiya Janata Party,BJP,SP
398,Phulpur,Bharatiya Janata Party,BJP,BSP
399,Allahabad,Bharatiya Janata Party,BJP,SP
400,Barabanki,Bharatiya Janata Party,BJP,INC
401,Faizabad,Bharatiya Janata Party,BJP,INC
402,Ambedkar Nagar,Bahujan Samaj Party,BJP,BSP
403,Bahraich,Bharatiya Janata Party,BJP,INC
404,Kaiserganj,Bharatiya Janata Party,BJP,SP
405,Gonda,Bharatiya Janata Party,BJP,INC
406,Domariyaganj,Bharatiya Janata Party,BJP,INC
407,Basti,Bharatiya Janata Party,BJP,BSP
408,Gorakhpur,Bharatiya Janata Party,BJP,BJP
409,Kushi Nagar,Bharatiya Janata Party,BJP,INC
410,Deoria,Bharatiya Janata Party,BJP,BSP
411,Bansgaon,Bharatiya Janata Party,BJP,BJP
412,Lalganj,Bahujan Samaj Party,BJP,BSP
413,Azamgarh,Samajwadi Party,SP,BJP
414,Ghosi,Bahujan Samaj Party,BJP,BSP
415,Salempur,Bharatiya Janata Party,BJP,BSP
416,Ballia,Bharatiya Janata Party,BJP,SP
417,Jaunpur,Bahujan Samaj Party,BJP,BSP
418,Machhlishahr,Bharatiya Janata Party,BJP,SP
419,Ghazipur,Bahujan Samaj Party,BJP,SP
420,Chandauli,Bharatiya Janata Party,BJP,SP
421,Varanasi,Bharatiya Janata Party,BJP,BJP
422,Bhadohi,Bharatiya Janata Party,BJP,BSP
423,Mirzapur,Apna Dal (Sonelal),AD,SP
424,Robertsganj,Apna Dal (Sonelal),BJP,SP
425,Tehri Garhwal,Bharatiya Janata Party,BJP,INC
426,Garhwal,Bharatiya Janata Party,BJP,INC
427,Almora,Bharatiya Janata Party,BJP,INC
428,Alipurduars,Bharatiya Janata Party,AITC,RSP
429,Jalpaiguri,Bharatiya Janata Party,AITC,CPM
430,Darjeeling,Bharatiya Janata Party,BJP,BJP
431,Raiganj,Bharatiya Janata Party,CPM,INC
432,Balurghat,Bharatiya Janata Party,AITC,RSP
433,Maldaha Uttar,Bharatiya Janata Party,INC,INC
434,Maldaha Dakshin,Indian National Congress,INC,INC
435,Jangipur,All India Trinamool Congress,INC,INC
436,Baharampur,Indian National Congress,INC,INC
437,Murshidabad,All India Trinamool Congress,CPM,INC
438,Krishnanagar,All India Trinamool Congress,AITC,AITC
439,Ranaghat,Bharatiya Janata Party,AITC,AITC
440,Bangaon,Bharatiya Janata Party,AITC,AITC
441,Barasat,All India Trinamool Congress,AITC,AITC
442,Basirhat,All India Trinamool Congress,AITC,AITC
443,Mathurapur,All India Trinamool Congress,AITC,AITC
444,Jadavpur,All India Trinamool Congress,AITC,AITC
445,Kolkata Dakshin,All India Trinamool Congress,AITC,AITC
446,Kolkata Uttar,All India Trinamool Congress,AITC,AITC
447,Howrah,All India Trinamool Congress,AITC,AITC
448,Uluberia,All India Trinamool Congress,AITC,AITC
449,Hooghly,Bharatiya Janata Party,AITC,AITC
450,Arambagh,All India Trinamool Congress,AITC,CPM
451,Tamluk,All India Trinamool Congress,AITC,AITC
452,Kanthi,All India Trinamool Congress,AITC,AITC
453,Ghatal,All India Trinamool Congress,AITC,CPI
454,Jhargram,Bharatiya Janata Party,AITC,CPM
455,Medinipur,Bharatiya Janata Party,AITC,CPI
456,Purulia,Bharatiya Janata Party,AITC,AIFB
457,Bankura,Bharatiya Janata Party,AITC,CPM
458,Bishnupur,Bharatiya Janata Party,AITC,CPM
459,Bardhaman Purba,All India Trinamool Congress,AITC,CPM
460,Asansol,Bharatiya Janata Party,BJP,CPM
461,Bolpur,All India Trinamool Congress,AITC,CPM
462,Birbhum,All India Trinamool Congress,AITC,AITC
